code,vowel,prec_sound,foll_sound,prec_boundary,post_boundary,lexical_category,voice,stressed_syllable,word,prec_word,foll_word
148,ah,b,b,sentence,x,noun,modal,y,bob,na,took
149,ah,d,g,x,x,noun,modal,y,dog,the,up
150,ah,l,k,x,x,noun,modal,y,block,the,na
151,ah,b,b,sentence,x,noun,modal,y,bob,na,took
152,ah,d,g,x,x,noun,modal,y,dog,the,up
153,ah,l,k,x,x,noun,modal,y,block,the,na
154,ah,b,b,sentence,x,noun,modal,y,bob,na,took
155,ah,d,g,x,x,noun,modal,y,dog,the,up
156,ah,l,k,x,x,noun,modal,y,block,the,na
157,ah,b,b,sentence,x,noun,modal,y,bob,na,took
158,ah,d,g,x,x,noun,modal,y,dog,the,up
159,ah,l,k,x,x,noun,modal,y,block,the,na
160,ah,b,b,sentence,x,noun,modal,y,bob,na,took
161,ah,d,g,x,x,noun,modal,y,dog,the,up
162,ah,l,k,x,x,noun,modal,y,block,the,na
163,ah,b,b,sentence,x,noun,modal,y,bob,na,took
164,ah,d,g,x,x,noun,modal,y,dog,the,up
165,ah,l,k,x,x,noun,modal,y,block,the,na
166,ah,b,b,sentence,x,noun,modal,y,bob,na,took
167,ah,d,g,x,x,noun,modal,y,dog,the,up
168,ah,l,k,x,x,noun,modal,y,block,the,na
169,ah,b,b,sentence,x,noun,modal,y,bob,na,took
170,ah,d,g,x,x,noun,modal,y,dog,the,up
171,ah,l,k,x,x,noun,modal,y,block,the,na
172,ah,b,b,sentence,x,noun,modal,y,bob,na,took
173,ah,d,g,x,x,noun,modal,y,dog,the,up
174,ah,l,k,x,x,noun,modal,y,block,the,na
175,ah,b,b,sentence,x,noun,modal,y,bob,na,took
176,ah,d,g,x,x,noun,modal,y,dog,the,up
177,ah,l,k,x,x,noun,modal,y,block,the,na
178,ah,b,b,sentence,x,noun,modal,y,bob,na,took
179,ah,d,g,x,x,noun,modal,y,dog,the,up
180,ah,l,k,x,x,noun,modal,y,block,the,na
181,ah,b,b,sentence,x,noun,modal,y,bob,na,took
182,ah,d,g,x,x,noun,modal,y,dog,the,up
183,ah,l,k,x,x,noun,modal,y,block,the,na
184,ah,b,b,sentence,x,noun,modal,y,bob,na,took
185,ah,d,g,x,x,noun,modal,y,dog,the,up
186,ah,l,k,x,x,noun,modal,y,block,the,na
187,ah,b,b,sentence,x,noun,modal,y,bob,na,took
188,ah,d,g,x,x,noun,modal,y,dog,the,up
189,ah,l,k,x,x,noun,modal,y,block,the,na
190,ah,b,b,sentence,x,noun,modal,y,bob,na,took
191,ah,d,g,x,x,noun,modal,y,dog,the,up
192,ah,l,k,x,x,noun,modal,y,block,the,na
193,ai,na,l,sentence,word,noun,creaky,y,I,na,like
194,ai,l,k,x,x,verb,modal,y,like ,I,to
195,ai,m,b,x,word,noun,modal,y,my ,for,birthday
196,ai,na,l,sentence,word,noun,creaky,y,I,na,like
197,ai,l,k,x,x,verb,modal,y,like ,I,to
198,ai,m,b,x,word,noun,modal,y,my ,for,birthday
199,ai,na,l,sentence,word,noun,creaky,y,I,na,like
200,ai,l,k,x,x,verb,modal,y,like ,I,to
201,ai,m,b,x,word,noun,modal,y,my ,for,birthday
202,ai,na,l,sentence,word,noun,creaky,y,I,na,like
203,ai,l,k,x,x,verb,modal,y,like ,I,to
204,ai,m,b,x,word,noun,modal,y,my ,for,birthday
205,ai,na,l,sentence,word,noun,creaky,y,I,na,like
206,ai,l,k,x,x,verb,modal,y,like ,I,to
207,ai,m,b,x,word,noun,modal,y,my ,for,birthday
208,ai,na,l,sentence,word,noun,creaky,y,I,na,like
209,ai,l,k,x,x,verb,modal,y,like ,I,to
210,ai,m,b,x,word,noun,modal,y,my ,for,birthday
211,ai,na,l,sentence,word,noun,creaky,y,I,na,like
212,ai,l,k,x,x,verb,modal,y,like ,I,to
213,ai,m,b,x,word,noun,modal,y,my ,for,birthday
214,ai,na,l,sentence,word,noun,creaky,y,I,na,like
215,ai,l,k,x,x,verb,modal,y,like ,I,to
216,ai,m,b,x,word,noun,modal,y,my ,for,birthday
217,ai,na,l,sentence,word,noun,creaky,y,I,na,like
218,ai,l,k,x,x,verb,modal,y,like ,I,to
219,ai,m,b,x,word,noun,modal,y,my ,for,birthday
220,ai,na,l,sentence,word,noun,creaky,y,I,na,like
221,ai,l,k,x,x,verb,modal,y,like ,I,to
222,ai,m,b,x,word,noun,modal,y,my ,for,birthday
223,ai,na,l,sentence,word,noun,creaky,y,I,na,like
224,ai,l,k,x,x,verb,modal,y,like ,I,to
225,ai,m,b,x,word,noun,modal,y,my ,for,birthday
226,ai,na,l,sentence,word,noun,creaky,y,I,na,like
227,ai,l,k,x,x,verb,modal,y,like ,I,to
228,ai,m,b,x,word,noun,modal,y,my ,for,birthday
229,ai,na,l,sentence,word,noun,creaky,y,I,na,like
230,ai,l,k,x,x,verb,modal,y,like ,I,to
